order_id,platform,order_date,customer_name,total_amount,status
ORD000055,taobao,2026-07-30 19:52:07,刘洋,5369.81,pending
ORD000056,douyin,2026-08-02 15:26:07,李娜,12982.62,paid
ORD000057,jd,2026-07-31 09:40:07,李娜,11757.56,shipped
ORD000058,jd,2026-07-29 20:49:07,王芳,13095.29,completed
ORD000059,jd,2026-07-29 04:31:07,黄敏,4647.34,shipped
ORD000060,jd,2026-07-29 09:40:07,刘洋,4991.1,completed
ORD000061,pdd,2026-07-30 18:20:07,周杰,10224.82,completed
ORD000062,pdd,2026-07-27 07:46:07,陈静,8750.79,paid
ORD000063,taobao,2026-07-28 04:17:07,赵磊,10955.32,shipped
ORD000064,wechat,2026-08-01 10:46:07,赵磊,2932.17,unknown_status
ORD000065,wechat,2026-08-01 18:22:07,刘洋,6526.33,shipped
ORD000066,pdd,2026-08-02 15:59:07,王芳,7656.13,shipped
ORD000067,pdd,2026-07-31 08:23:07,陈静,1996.59,cancelled
ORD000068,douyin,2026-07-28 21:18:07,吴婷,6150.52,shipped
ORD000069,pdd,2026-07-30 01:52:07,赵磊,9139.26,cancelled
ORD000070,douyin,2026-07-31 18:22:07,刘洋,7150.47,cancelled
ORD000071,jd,2026-08-03 00:44:07,陈静,9991.42,cancelled
ORD000072,taobao,2026-07-29 13:22:07,陈静,12117.79,paid
ORD000073,taobao,2026-07-29 15:09:07,吴婷,6885.7,pending
ORD000074,wechat,2026-07-29 02:24:07,赵磊,6054.83,completed
ORD000075,taobao,2026-07-28 04:28:07,赵磊,2720.71,paid
ORD000076,wechat,2026-07-31 22:42:07,周杰,13770.3,paid
ORD000077,jd,2026-07-31 23:21:07,周杰,8972.24,cancelled
ORD000078,douyin,2026-08-02 13:31:07,周杰,12475.48,completed
ORD000079,jd,2026-08-01 02:07:07,陈静,12613.96,paid
ORD000080,wechat,2026-08-01 05:19:07,刘洋,6654.1,shipped
ORD000081,jd,2026-07-29 22:00:07,杨帆,1300.61,cancelled
ORD000082,douyin,2026-07-28 16:24:07,刘洋,6281.53,pending
ORD000083,douyin,2026-07-31 10:42:07,刘洋,5903.2,completed
ORD000084,taobao,2026-08-02 04:03:07,黄敏,14146.85,pending
ORD000085,douyin,2026-07-31 12:13:07,周杰,13477.39,cancelled
ORD000086,pdd,2026-07-31 16:10:07,张伟,5108.33,completed
ORD000087,douyin,2026-07-28 19:32:07,黄敏,14712.76,paid
ORD000088,douyin,2026-08-02 08:15:07,张伟,9676.97,pending
ORD000089,douyin,2026-07-28 22:42:07,陈静,4977.55,completed
ORD000090,pdd,2026-07-31 01:56:07,赵磊,12540.17,shipped
ORD000091,wechat,2026-07-27 14:01:07,刘洋,11740.37,pending
ORD000092,taobao,2026-07-29 15:51:07,张伟,2370.5,cancelled
ORD000093,taobao,2026-08-02 00:52:07,黄敏,11526.78,shipped
ORD000094,wechat,2026-07-28 06:28:07,李娜,1710.67,unknown_status
ORD000095,douyin,2026-07-31 06:24:07,刘洋,8922.26,pending
ORD000096,jd,2026-07-28 03:23:07,陈静,12102.37,cancelled
ORD000097,wechat,2026-07-27 11:01:07,周杰,9956.67,completed
ORD000098,pdd,2026-07-27 04:33:07,赵磊,1672.53,completed
ORD000099,douyin,2026-07-28 16:06:07,李娜,14485.56,cancelled
ORD000100,wechat,2026-08-01 04:08:07,赵磊,4099.09,cancelled
ORD000101,taobao,2026-07-30 00:35:07,黄敏,11282.1,paid
ORD000102,douyin,2026-07-30 14:40:07,黄敏,2809.41,shipped
ORD000103,pdd,2026-07-30 15:56:07,吴婷,8381.29,shipped
ORD000104,jd,2026-07-27 21:54:07,赵磊,8372.13,completed
ORD000105,douyin,2026-08-02 22:24:07,黄敏,11914.7,completed
ORD000106,jd,2026-07-31 08:23:07,刘洋,9993.0,shipped
ORD000107,wechat,2026-08-01 16:01:07,赵磊,5028.79,cancelled
ORD000108,pdd,2026-07-30 06:55:07,刘洋,10847.14,pending
ORD000109,wechat,2026-07-28 23:51:07,刘洋,4219.84,completed
ORD000110,wechat,2026-08-02 08:57:07,王芳,4514.07,paid
ORD000111,pdd,2026-07-27 04:24:07,周杰,4187.24,paid
ORD000112,wechat,2026-07-30 03:23:07,李娜,1628.56,unknown_status
ORD000113,douyin,2026-07-31 17:00:07,李娜,3861.93,pending
ORD000114,taobao,2026-07-27 17:04:07,黄敏,8697.62,pending
ORD000115,jd,2026-07-28 15:30:07,吴婷,1369.2,shipped
ORD000116,wechat,2026-07-31 11:17:07,吴婷,3462.74,cancelled
ORD000117,douyin,2026-07-31 17:58:07,吴婷,4650.17,completed
ORD000118,wechat,2026-07-28 02:27:07,刘洋,4043.23,paid
ORD000119,jd,2026-07-28 21:14:07,王芳,139.87,paid
ORD000120,wechat,2026-08-01 00:57:07,张伟,4392.76,paid
ORD000121,douyin,2026-07-27 19:22:07,刘洋,11838.64,shipped
ORD000122,jd,2026-07-31 12:46:07,周杰,9749.76,paid
ORD000123,jd,2026-07-27 18:42:07,李娜,8966.16,shipped
ORD000124,pdd,2026-07-31 16:46:07,黄敏,10526.03,shipped
ORD000125,wechat,2026-08-01 19:10:07,黄敏,9010.75,pending
ORD000126,pdd,2026-08-02 10:55:07,张伟,3510.97,pending
ORD000127,wechat,2026-08-02 06:40:07,陈静,699.45,cancelled
ORD000128,douyin,2026-08-01 13:20:07,黄敏,2804.19,shipped
ORD000129,douyin,2026-07-28 00:09:07,杨帆,5066.3,completed
ORD000130,jd,2026-07-30 13:05:07,黄敏,9972.49,shipped
ORD000131,wechat,2026-07-27 10:08:07,王芳,3860.74,shipped
ORD000132,douyin,2026-08-01 12:31:07,张伟,6983.45,cancelled
ORD000133,wechat,2026-07-30 21:18:07,黄敏,11423.86,completed
ORD000134,wechat,2026-07-28 10:38:07,陈静,13224.61,completed
ORD000135,taobao,2026-08-02 18:17:07,刘洋,4730.18,unknown_status
ORD000136,jd,2026-07-28 06:08:07,王芳,7525.8,paid
ORD000137,wechat,2026-07-29 22:05:07,黄敏,3731.59,completed
ORD000138,douyin,2026-07-29 01:37:07,吴婷,11219.76,cancelled
ORD000139,taobao,2026-07-29 23:28:07,赵磊,14020.3,shipped
ORD000140,taobao,2026-07-30 01:25:07,陈静,8740.86,cancelled
ORD000141,jd,2026-07-31 19:13:07,黄敏,5053.36,shipped
ORD000142,douyin,2026-07-31 21:38:07,杨帆,14713.54,paid
ORD000143,douyin,2026-07-29 12:33:07,赵磊,4840.83,pending
ORD000144,douyin,2026-07-31 03:21:07,李娜,14475.88,completed
ORD000145,wechat,2026-07-30 13:34:07,王芳,1585.7,completed
ORD000146,taobao,2026-07-28 13:05:07,李娜,7095.41,pending
ORD000147,pdd,2026-08-02 16:23:07,赵磊,12791.3,pending
ORD000148,wechat,2026-07-31 01:59:07,黄敏,634.9,cancelled
ORD000149,pdd,2026-07-29 11:26:07,王芳,14677.23,completed
ORD000150,taobao,2026-07-31 17:49:07,陈静,785.27,pending
ORD000151,pdd,2026-07-30 20:02:07,赵磊,3738.54,paid
ORD000152,jd,2026-07-28 19:50:07,王芳,13075.51,cancelled
ORD000153,jd,2026-08-01 08:37:07,吴婷,3559.61,paid
ORD000154,douyin,2026-07-29 18:21:07,张伟,13528.02,completed
ORD000155,jd,2026-07-27 19:07:07,杨帆,4557.4,cancelled
ORD000156,pdd,2026-07-31 21:33:07,陈静,14990.67,paid
ORD000157,taobao,2026-07-29 13:03:07,吴婷,8664.7,shipped
ORD000158,pdd,2026-07-27 06:32:07,赵磊,220.66,shipped
ORD000159,taobao,2026-08-02 12:26:07,黄敏,11658.54,shipped
ORD000160,pdd,2026-07-29 09:19:07,刘洋,3834.34,cancelled
ORD000161,jd,2026-08-02 16:45:07,张伟,11850.3,unknown_status
ORD000162,jd,2026-07-28 00:37:07,陈静,11237.46,shipped
ORD000163,jd,2026-08-01 19:35:07,杨帆,7576.74,cancelled
ORD000164,jd,2026-07-29 18:37:07,黄敏,11223.73,shipped
ORD000165,taobao,2026-07-31 23:43:07,李娜,12916.09,paid
ORD000166,douyin,2026-08-01 23:02:07,王芳,307.39,completed
ORD000167,douyin,2026-07-30 23:22:07,陈静,5777.28,cancelled
ORD000168,pdd,2026-07-28 04:22:07,刘洋,472.87,completed
ORD000169,wechat,2026-07-30 12:37:07,吴婷,9750.02,paid
ORD000170,douyin,2026-07-30 06:20:07,赵磊,2182.68,pending
ORD000171,pdd,2026-08-01 06:46:07,王芳,13320.16,paid
ORD000172,douyin,2026-07-30 23:21:07,周杰,8851.37,completed
ORD000173,douyin,2026-08-02 23:45:07,黄敏,6180.93,cancelled
ORD000174,taobao,2026-07-30 22:52:07,黄敏,14263.27,completed
ORD000175,taobao,2026-07-30 23:13:07,杨帆,6032.28,pending
ORD000176,taobao,2026-07-31 20:44:07,刘洋,14569.29,cancelled
ORD000177,pdd,2026-07-29 14:47:07,吴婷,1122.29,paid
ORD000178,jd,2026-08-02 06:52:07,刘洋,11638.09,shipped
ORD000179,wechat,2026-07-27 00:56:07,李娜,8149.21,paid
ORD000180,taobao,2026-07-27 06:47:07,张伟,11870.77,shipped
ORD000181,pdd,2026-07-27 04:50:07,陈静,1988.7,pending
ORD000182,taobao,2026-07-27 17:09:07,黄敏,7747.25,shipped
ORD000183,wechat,2026-07-29 09:18:07,张伟,4594.29,cancelled
ORD000184,taobao,2026-07-27 16:09:07,赵磊,10322.85,completed
ORD000185,douyin,2026-07-27 19:36:07,王芳,9163.63,shipped
ORD000186,pdd,2026-08-02 16:19:07,吴婷,10711.08,cancelled
ORD000187,wechat,2026-08-01 15:57:07,黄敏,9120.86,cancelled
ORD000188,taobao,2026-08-03 00:20:07,周杰,6508.04,paid
ORD000189,douyin,2026-07-30 15:31:07,黄敏,6298.25,completed
ORD000190,douyin,2026-07-30 09:21:07,陈静,14308.53,shipped
ORD000191,douyin,2026-07-27 17:44:07,王芳,6534.96,pending
ORD000192,pdd,2026-07-28 10:14:07,张伟,14353.71,cancelled
ORD000193,taobao,2026-07-31 10:01:07,赵磊,14529.14,pending
ORD000194,pdd,2026-07-28 03:15:07,周杰,2405.48,paid
ORD000195,taobao,2026-07-30 18:33:07,周杰,1811.79,shipped
ORD000196,jd,2026-07-31 14:33:07,周杰,9242.24,cancelled
ORD000197,taobao,2026-08-02 12:38:07,陈静,2788.2,pending
ORD000198,pdd,2026-07-30 15:01:07,张伟,13060.95,paid
ORD000199,douyin,2026-07-27 17:48:07,张伟,11217.07,pending
ORD000200,douyin,2026-07-31 21:00:07,李娜,4743.4,shipped
ORD000001,taobao,2026-07-27 07:26:07,陈静,3425.84,paid
